ticker;price;p_e;p_b;dividend_yield;roe;roa;net_margin;debt_equity;revenue;net_income;volume;sector;industry;market_cap;eps;total_assets;total_equity;bvps;ebitda;valuation_graham;valuation_bazin;valuation_dcf;magic_roc;magic_yield;target_price;upside;category;roc_rank;yield_rank;magic_score;expected_return
PSSA3;49.24;8.669015;2.0294275;508.0;25.16;6.0949995999999995;8.3100006;0.05237;44318310400.0;3682638080.0;1815205.0;Financial Services;Insurance - Diversified;31632406528.0;5.68;0;0;24.263;5248531968.0;55.68492973866448;4168.986666666667;82.14483535106889;0;0.16592262632165422;68.91488254486669;39.95711321053348;SMALL_CAP;44.5;49.0;93.5;-6.0524561198587215
SMTO3;17.31;7.461207;0.7717686;519.0;11.124;3.4259999999999997;11.094;1.60269;6925682176.0;768366976.0;3027241.0;Basic Materials;Specialty Chemicals;5587205120.0;2.32;0;0;22.429;2994681088.0;34.21686426310862;1497.315;33.55211584761969;0;0.5359891079137613;33.884490055364154;95.75095352607832;SMALL_CAP;44.5;15.0;59.5;-6.304135313770163
BRAP4;23.19;12.40107;1.1919816;1505.0;9.4849996;-0.756;0.0;0.00054;0.0;782164992.0;2406903.0;Financial Services;Asset Management;9115460608.0;1.87;0;0;19.455;0.0;28.610647056646588;5816.825000000002;27.044162342693465;0;0.0;27.827404699670026;19.997432943812086;SMALL_CAP;44.5;82.0;126.5;-6.907451339370418
LREN3;15.41;10.412162;1.4514458;591.0;14.479999;6.419999999999999;9.373;0.27928000000000003;15937579008.0;1493784064.0;17173594.0;Consumer Cyclical;Department Stores;15045172224.0;1.48;0;0;10.617;2373161984.0;18.802821596771054;1517.885;21.40393597175739;0;0.15773578053259776;20.103378784264223;30.456708528645173;SMALL_CAP;44.5;56.0;100.5;-6.958877400649337
WIZC3;7.99;6.6033053;1.8308891;791.0;29.974002;16.117;14.538999;0.30632000000000004;1382973056.0;201076000.0;541737.0;Financial Services;Insurance Brokers;1277659136.0;1.21;0;0;4.364;721558016.0;10.89999541284307;1053.3483333333334;17.499163868801652;0;0.5647500148271158;14.19957964082236;77.71689162481053;SMALL_CAP;44.5;12.0;56.5;-7.140219772440398
ABEV3;16.4;16.565657;2.8378613;112.00000000000001;17.251;9.783999999999999;17.66;0.0342;88209571840.0;15577716736.0;27166564.0;Consumer Defensive;Beverages - Brewers;255392169984.0;0.99;0;0;5.779;27010926592.0;11.345802087115745;306.1333333333333;14.317497710837713;0;0.10576254782475203;12.831649898976728;-21.75823232331262;SMALL_CAP;44.5;69.0;113.5;-7.257562817933221
MULT3;30.39;12.303643;2.3015752;386.0;20.018;9.575;40.234002000000004;0.8421500000000001;3040235008.0;1223220992.0;3700544.0;Real Estate;Real Estate Services;14922905600.0;2.47;0;0;13.204;2112625024.0;27.088970080089794;1955.09;35.721433682595105;0;0.14156928152115364;31.40520188134245;3.3405787474249715;SMALL_CAP;44.5;65.0;109.5;-7.783877867207973
SLCE3;16.22;24.953846;1.6016589;802.9999999999999;5.2529998;5.742;3.816;1.76746;8489606144.0;323972992.0;3290686.0;Consumer Defensive;Farm Products;8054173696.0;0.65;0;0;10.127;2055776000.0;12.169937345771341;2170.776666666666;9.400377284893452;0;0.2552435640941012;10.785157315332397;-33.50704491163751;SMALL_CAP;44.5;31.0;75.5;-7.911416719895601
EGIE3;32.58;14.4800005;2.7362058;567.0;20.204;6.404;19.354999;2.1908600000000003;13255662592.0;2565619968.0;2225822.0;Utilities;Utilities - Renewable;37216100352.0;2.25;0;0;11.907;7146891776.0;24.551820197288837;3078.81;32.53976752463117;0;0.19203763178846664;28.545793860960003;-12.382462059668498;SMALL_CAP;44.5;44.0;88.5;-8.106497250347424
FLRY3;15.92;13.724138;1.6699885;1204.0;11.672;6.0500003;7.468;1.01504;8499227136.0;634756992.0;2853960.0;Healthcare;Diagnostics & Research;8654509056.0;1.16;0;0;9.533;1887942016.0;15.77375351652231;3194.6133333333332;16.776057923809844;0;0.21814547812982263;16.27490572016608;2.2293072874753683;SMALL_CAP;44.5;37.0;81.5;-8.186768792204772
